C:\Code\_projects\nanoGPT\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT\config\train_shakespeare_char_bs128.py:
# Baseline configuration
out_dir = 'out-shakespeare-bs128'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'bs128'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 128
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 8,192
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,690,944 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2505, val loss 4.2421
iter 0: loss 4.2534, time 6163.47ms, mfu -100.00%
iter 10: loss 3.1178, time 43.74ms, mfu 4.05%
iter 20: loss 2.7712, time 33.37ms, mfu 4.17%
iter 30: loss 2.6097, time 44.24ms, mfu 4.16%
iter 40: loss 2.5545, time 43.96ms, mfu 4.14%
iter 50: loss 2.5305, time 34.03ms, mfu 4.25%
iter 60: loss 2.5117, time 43.28ms, mfu 4.23%
iter 70: loss 2.4926, time 44.57ms, mfu 4.21%
iter 80: loss 2.4928, time 34.22ms, mfu 4.30%
iter 90: loss 2.4584, time 43.85ms, mfu 4.28%
iter 100: loss 2.4526, time 34.53ms, mfu 4.36%
iter 110: loss 2.4304, time 44.61ms, mfu 4.32%
iter 120: loss 2.3637, time 46.18ms, mfu 4.27%
iter 130: loss 2.3523, time 45.85ms, mfu 4.23%
iter 140: loss 2.3369, time 44.37ms, mfu 4.21%
iter 150: loss 2.2780, time 33.81ms, mfu 4.31%
iter 160: loss 2.2404, time 44.01ms, mfu 4.28%
iter 170: loss 2.1937, time 46.10ms, mfu 4.24%
iter 180: loss 2.1244, time 34.17ms, mfu 4.33%
iter 190: loss 2.1161, time 44.52ms, mfu 4.30%
iter 200: loss 2.0640, time 33.35ms, mfu 4.40%
iter 210: loss 2.1164, time 45.26ms, mfu 4.35%
iter 220: loss 2.0801, time 46.05ms, mfu 4.30%
iter 230: loss 1.9990, time 44.88ms, mfu 4.26%
iter 240: loss 2.0044, time 46.12ms, mfu 4.22%
step 250: train loss 1.9199, val loss 2.0251
saving checkpoint to out-shakespeare-bs128
