C:\Code\_projects\nanoGPT\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT\config\train_shakespeare_char_dropout0p4.py:
# Baseline configuration
out_dir = 'out-shakespeare-dropout0p4'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'dropout0p4'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.4
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2582, time 10975.58ms, mfu -100.00%
iter 10: loss 3.3074, time 78.23ms, mfu 4.76%
iter 20: loss 2.8791, time 77.72ms, mfu 4.77%
iter 30: loss 2.7027, time 93.66ms, mfu 4.69%
iter 40: loss 2.6267, time 93.17ms, mfu 4.62%
iter 50: loss 2.5721, time 94.68ms, mfu 4.55%
iter 60: loss 2.5482, time 91.92ms, mfu 4.50%
iter 70: loss 2.5390, time 92.93ms, mfu 4.45%
iter 80: loss 2.5288, time 78.01ms, mfu 4.48%
iter 90: loss 2.5022, time 78.00ms, mfu 4.51%
iter 100: loss 2.4948, time 94.31ms, mfu 4.46%
iter 110: loss 2.4890, time 78.53ms, mfu 4.49%
iter 120: loss 2.4701, time 95.03ms, mfu 4.43%
iter 130: loss 2.4596, time 92.36ms, mfu 4.39%
iter 140: loss 2.4530, time 78.07ms, mfu 4.43%
iter 150: loss 2.4719, time 93.28ms, mfu 4.38%
iter 160: loss 2.4616, time 79.62ms, mfu 4.41%
iter 170: loss 2.4352, time 79.34ms, mfu 4.44%
iter 180: loss 2.4323, time 92.99ms, mfu 4.40%
iter 190: loss 2.4068, time 91.33ms, mfu 4.37%
iter 200: loss 2.3931, time 93.55ms, mfu 4.33%
iter 210: loss 2.3983, time 77.97ms, mfu 4.37%
iter 220: loss 2.4201, time 92.36ms, mfu 4.34%
iter 230: loss 2.3767, time 78.70ms, mfu 4.38%
iter 240: loss 2.3831, time 78.40ms, mfu 4.42%
step 250: train loss 2.2895, val loss 2.3372
saving checkpoint to out-shakespeare-dropout0p4
