C:\Code\_projects\nanoGPT\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT\config\train_shakespeare_char_lr1e2.py:
# Baseline configuration
out_dir = 'out-shakespeare-lr1e2'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'lr1e2'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 0.01
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2685, time 10935.13ms, mfu -100.00%
iter 10: loss 2.9568, time 93.03ms, mfu 4.01%
iter 20: loss 2.5946, time 78.53ms, mfu 4.08%
iter 30: loss 2.5563, time 78.39ms, mfu 4.15%
iter 40: loss 2.5354, time 92.53ms, mfu 4.13%
iter 50: loss 2.5183, time 92.65ms, mfu 4.12%
iter 60: loss 2.5435, time 93.34ms, mfu 4.11%
iter 70: loss 2.6920, time 78.66ms, mfu 4.17%
iter 80: loss 2.7169, time 94.68ms, mfu 4.15%
iter 90: loss 2.5663, time 80.14ms, mfu 4.20%
iter 100: loss 2.5431, time 81.35ms, mfu 4.24%
iter 110: loss 2.5300, time 93.48ms, mfu 4.21%
iter 120: loss 2.5083, time 92.72ms, mfu 4.19%
iter 130: loss 2.4929, time 92.05ms, mfu 4.18%
iter 140: loss 2.5034, time 93.15ms, mfu 4.16%
iter 150: loss 2.5123, time 77.43ms, mfu 4.23%
iter 160: loss 2.4935, time 93.52ms, mfu 4.20%
iter 170: loss 2.4789, time 77.62ms, mfu 4.26%
iter 180: loss 2.4802, time 78.18ms, mfu 4.31%
iter 190: loss 2.4657, time 93.07ms, mfu 4.28%
iter 200: loss 2.4598, time 79.12ms, mfu 4.32%
iter 210: loss 2.4374, time 93.24ms, mfu 4.29%
iter 220: loss 2.4683, time 93.02ms, mfu 4.26%
iter 230: loss 2.4622, time 78.83ms, mfu 4.31%
iter 240: loss 2.4691, time 77.61ms, mfu 4.36%
step 250: train loss 2.4120, val loss 2.4361
saving checkpoint to out-shakespeare-lr1e2
