C:\Code\_projects\nanoGPT\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT\config\train_shakespeare_char_maxiters2500.py:
# Baseline configuration
out_dir = 'out-shakespeare-maxiters2500'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'maxiters2500'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 2500
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2685, time 10986.39ms, mfu -100.00%
iter 10: loss 3.1469, time 92.70ms, mfu 4.02%
iter 20: loss 2.7313, time 78.94ms, mfu 4.09%
iter 30: loss 2.6211, time 78.90ms, mfu 4.15%
iter 40: loss 2.5700, time 91.47ms, mfu 4.14%
iter 50: loss 2.5247, time 94.33ms, mfu 4.13%
iter 60: loss 2.5108, time 78.28ms, mfu 4.19%
iter 70: loss 2.4988, time 91.33ms, mfu 4.18%
iter 80: loss 2.4953, time 79.59ms, mfu 4.23%
iter 90: loss 2.4628, time 79.17ms, mfu 4.28%
iter 100: loss 2.4622, time 78.25ms, mfu 4.32%
iter 110: loss 2.4552, time 93.18ms, mfu 4.29%
iter 120: loss 2.4314, time 91.55ms, mfu 4.27%
iter 130: loss 2.4123, time 78.80ms, mfu 4.32%
iter 140: loss 2.4148, time 92.97ms, mfu 4.29%
iter 150: loss 2.4142, time 91.99ms, mfu 4.26%
iter 160: loss 2.3729, time 78.27ms, mfu 4.31%
iter 170: loss 2.3542, time 78.86ms, mfu 4.35%
iter 180: loss 2.3136, time 78.91ms, mfu 4.39%
iter 190: loss 2.2510, time 90.83ms, mfu 4.36%
iter 200: loss 2.2208, time 77.67ms, mfu 4.40%
iter 210: loss 2.1460, time 79.72ms, mfu 4.43%
iter 220: loss 2.1448, time 93.01ms, mfu 4.39%
iter 230: loss 2.0825, time 77.77ms, mfu 4.43%
iter 240: loss 2.0783, time 92.78ms, mfu 4.39%
step 250: train loss 1.9721, val loss 2.0780
saving checkpoint to out-shakespeare-maxiters2500
