C:\Code\_projects\nanoGPT\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT\config\train_shakespeare_char_nembd256.py:
# Baseline configuration
out_dir = 'out-shakespeare-nembd256'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'nembd256'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 4
n_embd = 256
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 4.74M
num decayed parameter tensors: 26, with 4,800,768 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: True
step 0: train loss 4.2771, val loss 4.2723
iter 0: loss 4.2622, time 6606.63ms, mfu -100.00%
iter 10: loss 3.3969, time 46.25ms, mfu 3.76%
iter 20: loss 2.9838, time 48.40ms, mfu 3.75%
iter 30: loss 2.7562, time 47.64ms, mfu 3.74%
iter 40: loss 2.6294, time 59.09ms, mfu 3.66%
iter 50: loss 2.5703, time 59.14ms, mfu 3.59%
iter 60: loss 2.5649, time 47.07ms, mfu 3.60%
iter 70: loss 2.5245, time 45.93ms, mfu 3.62%
iter 80: loss 2.4997, time 47.13ms, mfu 3.62%
iter 90: loss 2.4920, time 59.15ms, mfu 3.56%
iter 100: loss 2.4957, time 59.49ms, mfu 3.49%
iter 110: loss 2.4758, time 60.24ms, mfu 3.43%
iter 120: loss 2.4790, time 60.39ms, mfu 3.38%
iter 130: loss 2.4650, time 46.60ms, mfu 3.41%
iter 140: loss 2.4649, time 50.91ms, mfu 3.41%
iter 150: loss 2.4432, time 49.59ms, mfu 3.42%
iter 160: loss 2.4130, time 48.02ms, mfu 3.44%
iter 170: loss 2.4017, time 60.14ms, mfu 3.39%
iter 180: loss 2.3966, time 59.22ms, mfu 3.34%
iter 190: loss 2.4034, time 47.88ms, mfu 3.37%
iter 200: loss 2.4052, time 47.14ms, mfu 3.41%
iter 210: loss 2.3678, time 47.42ms, mfu 3.43%
iter 220: loss 2.3614, time 49.09ms, mfu 3.44%
iter 230: loss 2.3295, time 46.38ms, mfu 3.47%
iter 240: loss 2.2965, time 58.87ms, mfu 3.42%
step 250: train loss 2.2380, val loss 2.2787
saving checkpoint to out-shakespeare-nembd256
iter 250: loss 2.3032, time 6540.71ms, mfu 3.08%
iter 260: loss 2.3141, time 45.66ms, mfu 3.16%
iter 270: loss 2.2544, time 46.56ms, mfu 3.21%
iter 280: loss 2.2386, time 46.55ms, mfu 3.27%
iter 290: loss 2.2116, time 48.06ms, mfu 3.30%
iter 300: loss 2.2017, time 50.42ms, mfu 3.32%
iter 310: loss 2.1921, time 46.95ms, mfu 3.36%
iter 320: loss 2.1452, time 59.60ms, mfu 3.31%
iter 330: loss 2.1422, time 48.91ms, mfu 3.34%
iter 340: loss 2.1174, time 49.82ms, mfu 3.35%
iter 350: loss 2.1177, time 47.51ms, mfu 3.38%
iter 360: loss 2.0959, time 57.30ms, mfu 3.35%
iter 370: loss 2.0760, time 46.23ms, mfu 3.39%
iter 380: loss 2.0581, time 46.72ms, mfu 3.42%
iter 390: loss 2.0449, time 46.97ms, mfu 3.45%
iter 400: loss 2.0059, time 57.93ms, mfu 3.41%
iter 410: loss 1.9926, time 47.42ms, mfu 3.43%
iter 420: loss 2.0001, time 48.96ms, mfu 3.45%
iter 430: loss 1.9604, time 48.04ms, mfu 3.46%
iter 440: loss 1.9122, time 59.07ms, mfu 3.41%
iter 450: loss 1.9317, time 46.51ms, mfu 3.45%
iter 460: loss 1.9018, time 49.30ms, mfu 3.45%
iter 470: loss 1.8816, time 47.93ms, mfu 3.47%
iter 480: loss 1.8925, time 47.08ms, mfu 3.49%
iter 490: loss 1.8722, time 47.06ms, mfu 3.51%
step 500: train loss 1.7428, val loss 1.8906
saving checkpoint to out-shakespeare-nembd256
iter 500: loss 1.8920, time 6520.20ms, mfu 3.17%
iter 510: loss 1.8238, time 49.65ms, mfu 3.20%
iter 520: loss 1.8260, time 47.72ms, mfu 3.24%
iter 530: loss 1.7984, time 58.43ms, mfu 3.22%
iter 540: loss 1.8272, time 47.07ms, mfu 3.27%
iter 550: loss 1.7501, time 45.05ms, mfu 3.33%
iter 560: loss 1.7765, time 59.34ms, mfu 3.29%
iter 570: loss 1.7788, time 46.89ms, mfu 3.33%
iter 580: loss 1.7635, time 48.83ms, mfu 3.35%
iter 590: loss 1.7207, time 46.42ms, mfu 3.39%
iter 600: loss 1.7358, time 47.08ms, mfu 3.42%
iter 610: loss 1.7204, time 46.82ms, mfu 3.45%
