C:\Code\_projects\nanoGPT-nlp\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT-nlp\config\train_shakespeare_optimal_iter2500.py:
# Baseline configuration
out_dir = 'out-shakespeare-iter2500'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'iter2500'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.1
learning_rate = 5e-4
max_iters = 2500
lr_decay_iters = 2500
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2738, time 10926.69ms, mfu -100.00%
iter 10: loss 3.2732, time 92.58ms, mfu 4.02%
iter 20: loss 2.8249, time 78.03ms, mfu 4.10%
iter 30: loss 2.6719, time 77.12ms, mfu 4.17%
iter 40: loss 2.5999, time 93.98ms, mfu 4.15%
iter 50: loss 2.5396, time 92.63ms, mfu 4.14%
iter 60: loss 2.5159, time 91.79ms, mfu 4.13%
iter 70: loss 2.5015, time 77.58ms, mfu 4.20%
iter 80: loss 2.4974, time 78.28ms, mfu 4.25%
iter 90: loss 2.4697, time 93.92ms, mfu 4.23%
iter 100: loss 2.4615, time 93.56ms, mfu 4.20%
iter 110: loss 2.4499, time 93.02ms, mfu 4.18%
iter 120: loss 2.4243, time 77.69ms, mfu 4.24%
iter 130: loss 2.4082, time 94.04ms, mfu 4.22%
iter 140: loss 2.4041, time 92.53ms, mfu 4.20%
iter 150: loss 2.4087, time 92.66ms, mfu 4.18%
iter 160: loss 2.3763, time 78.04ms, mfu 4.24%
iter 170: loss 2.3654, time 92.31ms, mfu 4.22%
iter 180: loss 2.3362, time 78.88ms, mfu 4.27%
iter 190: loss 2.2902, time 78.80ms, mfu 4.31%
iter 200: loss 2.2718, time 94.23ms, mfu 4.28%
iter 210: loss 2.2222, time 92.50ms, mfu 4.25%
iter 220: loss 2.2256, time 78.50ms, mfu 4.30%
iter 230: loss 2.1833, time 80.27ms, mfu 4.34%
iter 240: loss 2.1758, time 78.89ms, mfu 4.38%
step 250: train loss 2.0687, val loss 2.1360
saving checkpoint to out-shakespeare-iter2500
