C:\Code\_projects\nanoGPT-nlp\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT-nlp\config\train_pandp_char_baseline.py:
# Baseline configuration
out_dir = 'out-pandp-char-baseline'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'pride_and_prejudice_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 100 (inside data\pride_and_prejudice_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.66M
num decayed parameter tensors: 26, with 10,753,536 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.5930, val loss 4.5963
iter 0: loss 4.6185, time 10862.00ms, mfu -100.00%
iter 10: loss 3.2281, time 93.40ms, mfu 3.99%
iter 20: loss 2.7931, time 78.41ms, mfu 4.07%
iter 30: loss 2.6007, time 94.34ms, mfu 4.06%
iter 40: loss 2.4992, time 76.83ms, mfu 4.14%
iter 50: loss 2.4781, time 93.29ms, mfu 4.12%
iter 60: loss 2.4330, time 78.23ms, mfu 4.19%
iter 70: loss 2.4186, time 93.74ms, mfu 4.17%
iter 80: loss 2.4413, time 93.21ms, mfu 4.15%
iter 90: loss 2.4436, time 79.46ms, mfu 4.21%
iter 100: loss 2.4332, time 78.51ms, mfu 4.26%
iter 110: loss 2.3774, time 78.30ms, mfu 4.31%
iter 120: loss 2.3289, time 78.29ms, mfu 4.36%
iter 130: loss 2.4036, time 95.46ms, mfu 4.31%
iter 140: loss 2.3699, time 92.67ms, mfu 4.28%
iter 150: loss 2.3598, time 76.47ms, mfu 4.34%
iter 160: loss 2.3298, time 93.48ms, mfu 4.31%
iter 170: loss 2.2789, time 91.84ms, mfu 4.28%
iter 180: loss 2.2617, time 77.63ms, mfu 4.33%
iter 190: loss 2.1593, time 93.63ms, mfu 4.30%
iter 200: loss 2.1499, time 77.84ms, mfu 4.35%
iter 210: loss 2.0982, time 92.45ms, mfu 4.32%
iter 220: loss 2.0046, time 78.40ms, mfu 4.36%
iter 230: loss 1.9658, time 79.52ms, mfu 4.39%
iter 240: loss 1.9447, time 95.74ms, mfu 4.34%
step 250: train loss 1.8205, val loss 1.9941
saving checkpoint to out-pandp-char-baseline
