C:\Code\_projects\nanoGPT\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT\config\train_shakespeare_char_baseline.py:
# Baseline configuration
out_dir = 'out-shakespeare-baseline'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2685, time 11292.40ms, mfu -100.00%
iter 10: loss 3.1469, time 94.35ms, mfu 3.95%
iter 20: loss 2.7312, time 78.76ms, mfu 4.03%
iter 30: loss 2.6209, time 93.97ms, mfu 4.02%
iter 40: loss 2.5697, time 95.79ms, mfu 4.01%
iter 50: loss 2.5244, time 79.30ms, mfu 4.08%
iter 60: loss 2.5105, time 91.92ms, mfu 4.07%
iter 70: loss 2.4991, time 93.23ms, mfu 4.07%
iter 80: loss 2.4941, time 93.01ms, mfu 4.06%
iter 90: loss 2.4675, time 93.96ms, mfu 4.05%
iter 100: loss 2.4650, time 92.40ms, mfu 4.05%
iter 110: loss 2.4549, time 78.78ms, mfu 4.12%
iter 120: loss 2.4306, time 93.53ms, mfu 4.10%
iter 130: loss 2.4146, time 93.98ms, mfu 4.09%
iter 140: loss 2.4057, time 78.90ms, mfu 4.15%
iter 150: loss 2.4105, time 92.52ms, mfu 4.14%
iter 160: loss 2.3712, time 78.79ms, mfu 4.20%
iter 170: loss 2.3534, time 94.22ms, mfu 4.18%
iter 180: loss 2.3129, time 94.00ms, mfu 4.15%
iter 190: loss 2.2433, time 93.22ms, mfu 4.14%
iter 200: loss 2.2136, time 78.42ms, mfu 4.20%
iter 210: loss 2.1434, time 92.97ms, mfu 4.18%
iter 220: loss 2.1395, time 77.89ms, mfu 4.24%
iter 230: loss 2.0710, time 94.16ms, mfu 4.21%
iter 240: loss 2.0758, time 78.92ms, mfu 4.26%
step 250: train loss 1.9759, val loss 2.0775
saving checkpoint to out-shakespeare-baseline
