C:\Code\_projects\nanoGPT\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT\config\train_shakespeare_char_dropout0p1.py:
# Baseline configuration
out_dir = 'out-shakespeare-dropout0p1'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'dropout0p1'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.1
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2738, time 11268.30ms, mfu -100.00%
iter 10: loss 3.1139, time 93.98ms, mfu 3.96%
iter 20: loss 2.6994, time 93.18ms, mfu 3.97%
iter 30: loss 2.5960, time 93.45ms, mfu 3.97%
iter 40: loss 2.5556, time 78.71ms, mfu 4.05%
iter 50: loss 2.5109, time 93.16ms, mfu 4.04%
iter 60: loss 2.4943, time 93.85ms, mfu 4.03%
iter 70: loss 2.4757, time 92.47ms, mfu 4.03%
iter 80: loss 2.4776, time 93.36ms, mfu 4.03%
iter 90: loss 2.4424, time 93.84ms, mfu 4.02%
iter 100: loss 2.4371, time 79.19ms, mfu 4.09%
iter 110: loss 2.4350, time 94.18ms, mfu 4.08%
iter 120: loss 2.3962, time 77.23ms, mfu 4.15%
iter 130: loss 2.3766, time 77.99ms, mfu 4.22%
iter 140: loss 2.3427, time 92.19ms, mfu 4.20%
iter 150: loss 2.3375, time 94.25ms, mfu 4.17%
iter 160: loss 2.2738, time 93.88ms, mfu 4.15%
iter 170: loss 2.2199, time 79.55ms, mfu 4.21%
iter 180: loss 2.1551, time 78.82ms, mfu 4.26%
iter 190: loss 2.0942, time 94.19ms, mfu 4.23%
iter 200: loss 2.0469, time 93.80ms, mfu 4.20%
iter 210: loss 1.9997, time 93.65ms, mfu 4.18%
iter 220: loss 1.9956, time 94.29ms, mfu 4.16%
iter 230: loss 1.9224, time 92.73ms, mfu 4.14%
iter 240: loss 1.9405, time 94.47ms, mfu 4.12%
step 250: train loss 1.8336, val loss 1.9629
saving checkpoint to out-shakespeare-dropout0p1
