C:\Code\_projects\nanoGPT\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT\config\train_shakespeare_char_lr5e4.py:
# Baseline configuration
out_dir = 'out-shakespeare-lr5e4'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'lr5e4'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 0.0005
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2685, time 10930.88ms, mfu -100.00%
iter 10: loss 3.3202, time 78.49ms, mfu 4.75%
iter 20: loss 2.8775, time 77.91ms, mfu 4.75%
iter 30: loss 2.7001, time 76.94ms, mfu 4.76%
iter 40: loss 2.6173, time 78.73ms, mfu 4.76%
iter 50: loss 2.5607, time 93.63ms, mfu 4.68%
iter 60: loss 2.5315, time 93.15ms, mfu 4.61%
iter 70: loss 2.5151, time 93.88ms, mfu 4.55%
iter 80: loss 2.5136, time 77.62ms, mfu 4.57%
iter 90: loss 2.4863, time 94.32ms, mfu 4.51%
iter 100: loss 2.4701, time 78.31ms, mfu 4.54%
iter 110: loss 2.4707, time 93.93ms, mfu 4.48%
iter 120: loss 2.4455, time 78.13ms, mfu 4.51%
iter 130: loss 2.4328, time 94.82ms, mfu 4.45%
iter 140: loss 2.4285, time 77.60ms, mfu 4.48%
iter 150: loss 2.4427, time 78.65ms, mfu 4.51%
iter 160: loss 2.4293, time 93.54ms, mfu 4.46%
iter 170: loss 2.4000, time 79.18ms, mfu 4.48%
iter 180: loss 2.3909, time 93.93ms, mfu 4.43%
iter 190: loss 2.3492, time 79.04ms, mfu 4.46%
iter 200: loss 2.3690, time 80.20ms, mfu 4.48%
iter 210: loss 2.3022, time 91.48ms, mfu 4.44%
iter 220: loss 2.3334, time 79.23ms, mfu 4.46%
iter 230: loss 2.2774, time 77.42ms, mfu 4.50%
iter 240: loss 2.2851, time 78.69ms, mfu 4.52%
step 250: train loss 2.1841, val loss 2.2313
saving checkpoint to out-shakespeare-lr5e4
