C:\Code\_projects\nanoGPT\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT\config\train_shakespeare_char_maxiters10000.py:
# Baseline configuration
out_dir = 'out-shakespeare-maxiters10000'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'maxiters10000'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 10000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2685, time 10932.25ms, mfu -100.00%
iter 10: loss 3.1469, time 92.40ms, mfu 4.03%
iter 20: loss 2.7313, time 94.46ms, mfu 4.02%
iter 30: loss 2.6214, time 77.73ms, mfu 4.10%
iter 40: loss 2.5698, time 79.86ms, mfu 4.16%
iter 50: loss 2.5245, time 92.96ms, mfu 4.14%
iter 60: loss 2.5107, time 94.07ms, mfu 4.12%
iter 70: loss 2.4984, time 79.91ms, mfu 4.18%
iter 80: loss 2.4942, time 94.85ms, mfu 4.15%
iter 90: loss 2.4684, time 77.27ms, mfu 4.22%
iter 100: loss 2.4616, time 76.77ms, mfu 4.28%
iter 110: loss 2.4566, time 78.56ms, mfu 4.33%
iter 120: loss 2.4294, time 95.05ms, mfu 4.29%
iter 130: loss 2.4130, time 79.66ms, mfu 4.33%
iter 140: loss 2.4107, time 78.20ms, mfu 4.37%
iter 150: loss 2.4122, time 92.88ms, mfu 4.34%
iter 160: loss 2.3762, time 78.22ms, mfu 4.38%
iter 170: loss 2.3653, time 94.06ms, mfu 4.34%
iter 180: loss 2.3093, time 91.99ms, mfu 4.31%
iter 190: loss 2.2482, time 77.90ms, mfu 4.36%
iter 200: loss 2.2137, time 92.64ms, mfu 4.32%
iter 210: loss 2.1504, time 93.45ms, mfu 4.29%
iter 220: loss 2.1380, time 79.15ms, mfu 4.33%
iter 230: loss 2.0726, time 78.25ms, mfu 4.37%
iter 240: loss 2.0745, time 93.14ms, mfu 4.34%
step 250: train loss 1.9679, val loss 2.0749
saving checkpoint to out-shakespeare-maxiters10000
