C:\Code\_projects\nanoGPT\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT\config\train_shakespeare_char_nembd128.py:
# Baseline configuration
out_dir = 'out-shakespeare-nembd128'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'nembd128'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 4
n_embd = 128
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 1.19M
num decayed parameter tensors: 26, with 1,220,736 parameters
num non-decayed parameter tensors: 13, with 1,664 parameters
using fused AdamW: True
step 0: train loss 4.1897, val loss 4.1868
iter 0: loss 4.1913, time 3807.77ms, mfu -100.00%
iter 10: loss 3.7438, time 28.39ms, mfu 1.76%
iter 20: loss 3.5794, time 27.52ms, mfu 1.76%
iter 30: loss 3.2981, time 15.51ms, mfu 1.91%
iter 40: loss 3.0640, time 27.46ms, mfu 1.90%
iter 50: loss 2.8736, time 27.33ms, mfu 1.89%
iter 60: loss 2.7499, time 29.29ms, mfu 1.87%
iter 70: loss 2.6872, time 25.07ms, mfu 1.88%
iter 80: loss 2.6559, time 28.48ms, mfu 1.87%
iter 90: loss 2.5945, time 14.71ms, mfu 2.02%
iter 100: loss 2.5684, time 30.63ms, mfu 1.98%
iter 110: loss 2.5482, time 28.08ms, mfu 1.96%
iter 120: loss 2.5744, time 13.37ms, mfu 2.14%
iter 130: loss 2.5095, time 29.89ms, mfu 2.09%
iter 140: loss 2.5242, time 16.01ms, mfu 2.19%
iter 150: loss 2.5150, time 28.11ms, mfu 2.15%
iter 160: loss 2.4652, time 26.89ms, mfu 2.12%
iter 170: loss 2.4852, time 27.07ms, mfu 2.09%
iter 180: loss 2.4888, time 14.96ms, mfu 2.22%
iter 190: loss 2.4917, time 26.98ms, mfu 2.18%
iter 200: loss 2.4590, time 27.25ms, mfu 2.15%
iter 210: loss 2.4613, time 18.58ms, mfu 2.20%
iter 220: loss 2.4740, time 27.91ms, mfu 2.16%
iter 230: loss 2.4507, time 26.25ms, mfu 2.13%
iter 240: loss 2.4436, time 24.52ms, mfu 2.12%
step 250: train loss 2.4075, val loss 2.4137
saving checkpoint to out-shakespeare-nembd128
iter 250: loss 2.4054, time 3652.65ms, mfu 1.91%
iter 260: loss 2.4223, time 12.33ms, mfu 2.13%
iter 270: loss 2.3978, time 29.07ms, mfu 2.08%
iter 280: loss 2.4127, time 30.31ms, mfu 2.04%
iter 290: loss 2.3764, time 19.46ms, mfu 2.09%
iter 300: loss 2.3939, time 26.72ms, mfu 2.07%
iter 310: loss 2.3829, time 22.64ms, mfu 2.08%
iter 320: loss 2.3542, time 18.60ms, mfu 2.14%
iter 330: loss 2.3624, time 26.37ms, mfu 2.12%
iter 340: loss 2.3532, time 20.03ms, mfu 2.16%
iter 350: loss 2.3210, time 27.41ms, mfu 2.12%
iter 360: loss 2.3109, time 24.12ms, mfu 2.12%
iter 370: loss 2.3050, time 25.72ms, mfu 2.10%
iter 380: loss 2.3091, time 28.82ms, mfu 2.06%
iter 390: loss 2.2812, time 26.17ms, mfu 2.05%
iter 400: loss 2.2721, time 27.26ms, mfu 2.02%
iter 410: loss 2.2542, time 25.71ms, mfu 2.02%
iter 420: loss 2.2658, time 30.01ms, mfu 1.98%
iter 430: loss 2.2655, time 28.76ms, mfu 1.96%
iter 440: loss 2.2327, time 26.85ms, mfu 1.95%
iter 450: loss 2.2189, time 34.23ms, mfu 1.90%
iter 460: loss 2.2187, time 25.37ms, mfu 1.90%
iter 470: loss 2.1769, time 12.78ms, mfu 2.10%
iter 480: loss 2.2158, time 27.47ms, mfu 2.08%
iter 490: loss 2.1887, time 21.06ms, mfu 2.10%
step 500: train loss 2.0654, val loss 2.1300
saving checkpoint to out-shakespeare-nembd128
iter 500: loss 2.1667, time 3655.57ms, mfu 1.90%
iter 510: loss 2.1348, time 24.04ms, mfu 1.91%
iter 520: loss 2.1241, time 27.32ms, mfu 1.90%
iter 530: loss 2.1308, time 27.64ms, mfu 1.89%
iter 540: loss 2.1527, time 29.37ms, mfu 1.87%
iter 550: loss 2.1027, time 25.22ms, mfu 1.89%
iter 560: loss 2.0972, time 27.05ms, mfu 1.88%
iter 570: loss 2.0953, time 24.62ms, mfu 1.90%
iter 580: loss 2.0730, time 18.08ms, mfu 1.98%
iter 590: loss 2.0707, time 27.78ms, mfu 1.96%
iter 600: loss 2.0637, time 27.86ms, mfu 1.95%
iter 610: loss 2.0424, time 19.73ms, mfu 2.00%
iter 620: loss 2.0318, time 27.39ms, mfu 1.99%
iter 630: loss 2.0307, time 18.59ms, mfu 2.06%
iter 640: loss 2.0196, time 27.01ms, mfu 2.03%
iter 650: loss 2.0039, time 26.26ms, mfu 2.02%
