C:\Code\_projects\nanoGPT\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT\config\train_shakespeare_char_nlayer2.py:
# Baseline configuration
out_dir = 'out-shakespeare-nlayer2'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'nlayer2'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 2
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.57M
num decayed parameter tensors: 10, with 3,662,208 parameters
num non-decayed parameter tensors: 5, with 1,920 parameters
using fused AdamW: True
step 0: train loss 4.2461, val loss 4.2432
iter 0: loss 4.2568, time 4605.21ms, mfu -100.00%
iter 10: loss 3.3118, time 31.47ms, mfu 3.96%
iter 20: loss 2.9178, time 30.27ms, mfu 3.98%
iter 30: loss 2.6779, time 29.64ms, mfu 4.00%
iter 40: loss 2.5708, time 30.39ms, mfu 4.01%
iter 50: loss 2.5354, time 30.46ms, mfu 4.02%
iter 60: loss 2.4942, time 31.56ms, mfu 4.01%
iter 70: loss 2.4915, time 30.75ms, mfu 4.02%
iter 80: loss 2.4944, time 31.97ms, mfu 4.01%
iter 90: loss 2.4834, time 30.90ms, mfu 4.01%
iter 100: loss 2.4670, time 31.21ms, mfu 4.01%
iter 110: loss 2.4637, time 44.86ms, mfu 3.89%
iter 120: loss 2.4659, time 31.59ms, mfu 3.89%
iter 130: loss 2.4301, time 31.05ms, mfu 3.90%
iter 140: loss 2.4244, time 30.06ms, mfu 3.93%
iter 150: loss 2.4252, time 31.81ms, mfu 3.93%
iter 160: loss 2.3958, time 30.38ms, mfu 3.95%
