C:\Code\_projects\nanoGPT-nlp\train.py:197: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with C:\Code\_projects\nanoGPT-nlp\config\train_shakespeare_optimal_iter10000.py:
# Baseline configuration
out_dir = 'out-shakespeare-iter10000'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'iter10000'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.1
learning_rate = 5e-4
max_iters = 10000
lr_decay_iters = 10000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False # set True only on Linux with GPU
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2738, time 10901.48ms, mfu -100.00%
iter 10: loss 3.2732, time 92.47ms, mfu 4.03%
iter 20: loss 2.8250, time 93.71ms, mfu 4.02%
iter 30: loss 2.6719, time 77.78ms, mfu 4.10%
iter 40: loss 2.5999, time 76.64ms, mfu 4.18%
iter 50: loss 2.5395, time 92.10ms, mfu 4.16%
iter 60: loss 2.5159, time 94.98ms, mfu 4.14%
iter 70: loss 2.5014, time 93.47ms, mfu 4.12%
iter 80: loss 2.4973, time 78.49ms, mfu 4.19%
iter 90: loss 2.4705, time 93.33ms, mfu 4.17%
iter 100: loss 2.4607, time 92.55ms, mfu 4.15%
iter 110: loss 2.4511, time 80.68ms, mfu 4.20%
iter 120: loss 2.4230, time 79.39ms, mfu 4.25%
iter 130: loss 2.4096, time 79.11ms, mfu 4.30%
iter 140: loss 2.4061, time 76.56ms, mfu 4.35%
iter 150: loss 2.4064, time 78.48ms, mfu 4.39%
iter 160: loss 2.3833, time 80.92ms, mfu 4.41%
iter 170: loss 2.3611, time 93.27ms, mfu 4.37%
iter 180: loss 2.3411, time 76.99ms, mfu 4.42%
iter 190: loss 2.2962, time 91.97ms, mfu 4.38%
iter 200: loss 2.2761, time 94.44ms, mfu 4.34%
iter 210: loss 2.2184, time 78.98ms, mfu 4.38%
iter 220: loss 2.2340, time 77.55ms, mfu 4.42%
iter 230: loss 2.1944, time 92.81ms, mfu 4.38%
iter 240: loss 2.1840, time 93.41ms, mfu 4.34%
step 250: train loss 2.0749, val loss 2.1405
saving checkpoint to out-shakespeare-iter10000
